Attraction Name,Category,Destination,Details,Mood,Image,destination_normalized,name_normalized,district_normalized
Mayan Water Park,Thrills,Gampaha,The mayan water park is a great place to visit on weekends because the price is a little lower than usual. But I think they should include more events. Overall the wave ride is the best. It's a popular local spot for a refreshing bath or swim.,Excited,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzERvFLto7qfk0UcgGIPTZbK0XvhTANFpodZfQCrziUA&s=10,gampaha,mayan water park,Gampaha
"Meeran Mosque, Galle Fort",Heritage,Galle,"One of ancient masjid in Galle area. It was built in 1904. Architectural view of majid is really very beautiful. It remains a relatively quiet, less-touristy spot.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXquwC3NX7G-v1Gdv4SlI4lWXBC4429JDSjJ4ap_quzg&s=10,galle,meeran mosque galle fort,Galle
Minee Ella,Scenic,Rathnapura,"One of the most beautiful waterfall I've seen. The road is also very good and very easy to find the place. The place is really nice we spent nearly 3 hours hours there. Visitors are advised to take care underfoot, as conditions can be slippery.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdYjuiTeuggmc5r4ngcUpMicrzC3tib6uLOko_BFBKVw&s,rathnapura,minee ella,Ratnapura
Mirijjawila Botanical Gardens - South Gate,Essence,Hambantota,Reasonable ticket prices. Electric car ride available for rs. 1000 per couple (rs.2000 for 6 people) for one hour.,Relaxed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAHqtjzZiwZ25qYOrwwkeWJkH5XX77TOSuRfiI6d0-xg&s,hambantota,mirijjawila botanical gardens south gate,Hambantota
Mohini Falls,Scenic,Hatton,"This is a nice waterfall on the way to Adam's Peak from Maskeliya. Although the fall has a very nice view from the main road, the water of it is said to be highly polluted. This is because the water stream flows through some residential area. It remains a relatively quiet, less-touristy spot.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnmZW0myfYag3WCthfwUyUU_1rNZF1fMt7BicXur36bg&s=10,hatton,mohini falls,Hatton
Moon plains,Scenic,Hatton,"360 view from the top. One of best place to visit at the Nuwaraeliya. It is not much far away from city center. It draws a steady stream of local visitors, especially on weekends.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYHiKQXWtAJfLjukoH6Nb27SLmODz80Kteo0DJrrlkyg&s=10,hatton,moon plains,Hatton
Mooray falls,Scenic,Hatton,Mind blowing view. can watch Gartmore waterfall from here. Roads are not good. It's a popular local spot for a refreshing bath or swim.,Peaceful,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAA0JCgsKCA0LCgsODg0PEyAVExISEyccHhcgLikxMC4pLSwzOko+MzZGNywtQFdBRkxOUlNSMj5aYVpQYEpRUk8BDg4OExETJhUVJk81LTVPT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT09PT//AABEIAIoA9gMBIgACEQEDEQH/xAAbAAACAwEBAQAAAAAAAAAAAAADBAECBQAGB//EADsQAAIBAwMBBgQDBwMEAwAAAAECAwAEERIhMUEFEyJRYXEUMoGRocHwBiNCUrHR4TND8RUkYnIWU4L/xAAZAQADAQEBAAAAAAAAAAAAAAAAAQIDBAX/xAAjEQEBAQEAAQQCAgMAAAAAAAAAARECIQMSMUEEURQiE2Fx/9oADAMBAAIRAxEAPwDzqQOJSc+EnJH5CqhtILDSdLZ51VcZAy2pMfMMdelQsZ/31wrZGMc+hP5Vh/1AqDUFKuCueV2H3/xRmtEMJCnSxPX+KhCJULaFAzucnbjjFMRlYl2xg4zvztStwamJQ0YMqJHnlcYIqsi6X0/6oY8fy7dKIHVhnc6uQM7VbvcJljlR99qW0tJImlgrh0kYZXI4286KJjC6yuMhOR0PpRL4ySp+6QyRuPGSdhWf4YhJHC+sFiNByVYY9cVpz/aBrCYXQEiHbT0GwHl+NVaFpUU4IPUAYLEdCfpSNlNBFJpRZFJG6McjPv0rQtJGWJhKyg6dQwSevVuM05/UgIlkDTmLwS+FtCc42zWrYdplnKSHSqthXOxyP80mNR2VQr9Cdwwx5mhvbwm5JWQg6gWUqOfLbpXT6fqZdhdczqPpdgxeyjdnLsw3J86Yrw69qXIQfCyyIh2IQj8+K0ou1u0YoI3J7xW6SDcY9etHXPnYvjrxlelI29KEzb6FI1YzjNeY7R/agN2e8CRk3EmUbOAFGOnnWCl+6OzuZEkx4CTjBOx/ClORe3su1JkWxmR5lDFflDYP4V5ntbtpJbO1jtyyTQHLE7A+VY015I7vhjucliclqSnfUxCjDHfmtEXrTDyg6ywPi2zq6+dKyvE0XdJs5bOSelDeJ2wuc/WhO0YkxglhtkUiXELN/pQlgdiOTWjCi96gKuwUY8R/Klez52SRo1YxqSBkY2x5UyzRGQiOUbDPAO/U5rPq2nBbpYHU+AEk86t/16UC0cRqZB5HB04+v5VFsrd/oMiOMZXybzoSkR3csk6nXCPCOVyfP28qi/GGEpSa8YSxO5kbYasY9TTcdjElsuv95pOWwx8Z6KPT1rFnnmmuVl1sz5wBvVZZrg/9uWJBIOPX6UYZztG3tVUMgVZkOlkQ7A+tZyoTOolBEZOWGN6ajs73uTm2bSWBORv+NMgoshhmDCXA0sWGEz545pbhoQq9nMbWFF4AO29Ta2LGUtNGzY9Rhj6Gn2gjhgQK+nR8o2OfUVSa40QAd7nfB8GDWd6JVbW0aRiYQDwQScV1WjkE+cEnHkK6p2jHaGkHi307aQDn7VYue7MIyveLkDVup86urGN90DNyNgMZ+hqLq27xDJEmhl20kgA560SRRcFI3DSxqSR85OMn3Oxo0cDyLqjYRaRlVK4wPIZ6b0hbMtvM0jEvIToBXhT/AHNalm8TMY2dXZSMKcEZ8v0aq3CXi0EKHLeH+LG23NMO4VfDoTHi3GM0i16h1FbYaw2goRp/H6f0pwOrHwiQsRkgNx7Vnfklu8t7hHjj+VgMjGw/tWfYdmRo+LiWQPnSvIC+e/HlU3SyWkzArqV1wpOxOfzoka3AhcFBMXI/3MA7c9a0nieKHLBbgpHLCobUAjxbalPORzn7UygNttDGwCyaGBDFSPPesmeaK1lyIWWRG3V22459D0p9Z/ibXvVXRIBnVyDkf5zTwaa0wsrRj+EHwnYr5bmquI4ljugTLpwjaW352/EVkWRkkmLISoA0gc7kYrSXvHik75VODg4zz/fIqswU32XcRwXbiFFwTq51Dn0py77TBvRP8HHJCo8UW41Ng5IA6V5y0mubGaZJAGjXLh2Q8ef69aZkvxcWshg1agPDpGWO+ePfrWukTN0TcSTaVjaRs6MkBRn70UJ3sIYsiDUxGDkmkjC8jl5ZlFT3sglIysox8x3xVpc6vHJ4GBx1BzXCYlGL5YjbmruFTH+mT109PSqlWZhGEBJOQAKNHyosrM5OjCj8KIsUTuTvg8DGKPBZzuuCg0rkkZxQ4YHbdIiQOTqwB71NpKmMAh1XCJsAByatEkWCJnGpwfF0GfzrniuNGGTEZbGTv/SkTIIpfETjIztzUqbdrcW8cbBo4pJIgMOOSvnt70t2hcK8RFmiqm5bGcg7Z+lLRzGO4WS2jxABlg+Mk/24ru0LyN4lihVQW+bSef161P2bORyjgsoZeoxRrAd5dNcSeJYvEFAzk9BQguqQLuoJGphvt51oW0boEhRS2tyxYbZHGqjq5DGF/PLM4mYqjHZdtvIY5o0Cic6EhVk+UFBnYcgn+9EkjLGNIIrd40P8Zzj64o8ZW0l7mMr4t3O5+gx/asqCN98U23w7OFOfBuB5ZP6FLPbDCqkuok/MBk6vbitGS5AIHzBhpxwQPc0FLGeR2ZR3Rz4jnKn0A6+9Rzf2eFJZZLcKIdttyRufcV1GSyuFYLFe6cKDkr5k7V1PwZ4LM7GOMYRfC2rbB9KNDGwGGGgEYKsM5oYaRIjJIMKo6b/h+VUgudan96Bg4Ck5z9Kmy/QLdp2LrMs9oiKxGPCpGc+e223rQLVpo5THNFAhRQc8FR9Oa1ZDJNHLHkZP8Q2GcbVhv2TdQt3ksihf5jgg7eVXxdnkmjeQGWcyJM0blwXaMkHGMce+KQuVltJI1MhJI1aozknzxWgHMs0cbSMMKDnu85/sPWlpXvodFvKslukbYjmDFhj3q8B62uHi/dMGZdBK6hs3XzNFbEqhlRw4O6Rt1+uKy7uK4tXjnjcTI3zMGA3z1B9MVd+0UuLmFYg6PHlWGNhnf9dam8/omtPPdZhFuwXKkMJCBv02/X5VlXAuIlkl0KCEbZN+eR+JrQdknYKY+6lXxKrD5/YnrQ1nuREnfZLFsLvtvtRzQyraWO2tgzhlbOV8uev2zWjG+p9bLq1EDGd8bn8xVO17Tv4AIkjWVNyq8sPzpW3mksnaCaRQx8QAbOfLxDOK0+fIbIlRspI7g4BIPQ71MMUUSybuUfdydz71nlobm3EyMsRGzqQR4fLPln7U4tp8XbW370MUx4A2Aft9KcEad7+zvZ03ZsN3YLMFfZ0D6tDfWsibs42VuziUFRuFxjJ9TXr+zYHfsua1XVGsi4zjZWG4x9+teMv7xDE1sUZXjPXfODWl8KyENJLhxwfmooR2U6CApyNjg0AIZGGhc56DbNQ3exuI5JGxjODwDSZYfimt3jNoEOpUJWVjgE+u+1MWndpbvEXVXflg2PsfaspIVJ1PIpIOQMDrjaqzyssjlRwTgAdKmg+srROkayGSNv3fgPUdcCsN2LyldiAftRbeYjU+llfkeQ9f61zROpBaMoTuAfKhRlJDPam3Mrak8QGPCuN6bh7NtHiV45S8rR8IQPFWYiMkLY3aQ43G2B/WtWzlVFikuo1mYtpAH63qexGSYZ1R5RHkcam3wa1ezmkhskZ4Y42YhQ+2pl/Km7qGe7TxF7Zc4YMc5XPGB7UveSo7a440dN3OG46flUXrVSIma3kcRzRlg+4z0bp1q8F7DbKLciTDfOXxqPltV+z0jnRDKdyTgnIJ+9PqkUQOEXPOcDIx/is+rPhWsaeFFfwoUOQQGG9EEUjARd2SQ+7Z+m9NtDCZFEp8fILb+uDQ7m4lii8BzvzwAPU9KibfhNoCwxxbSxvrOcgHOK6ohLXS9/PAJFI0huSTXUe3/aTCEFQHYMGXHODSdw8duYysZcLuSDz6GqzzSowaOIuADz0+tZQF1LPrJYqSdzwT5e/pW05xWttriRniIIaJs5XbBHv0xV/iVuS1vpEjHfLjGMcUmqRrkXDmTpoU6dI/CnbSxtmBkMQKldJGo8Y/GlsgAhEo1fDKkDsdnL6dY8hkbe1Bur2+Z9MJfWuDI4AxxnGw39zRXtuzC/eoyMflxKMj6UtLM9nfSXCFtMhwwzqzvvVzrQkdozTRzW0sCLKwBVgmNRyOv51We7vbWQxG0wq/zDUD65/X41pSdoEdn99JGTDICSU3IGep/KhWF/LcNKrxoYdOdBOQMVVCtsyzvFoAQKRryuFPsT70IJdi4BmGiJeRqHAONvx44puS1sluERLh4iN403bFTd2QuJ1uoXMjIg8KjGoj67VOEbaCO77uVpcADSFB8XPmef8ANedvWEV7JCxZO72AYAkbcbdK29xCt28jAvjUmBlceeelA7Rit7+0WaFR36YGFGfDt/enz4DLhkPcKXMoVm06lbCgdR+jWlayR/EuXl0qYxpVtiMb7HNRHawv2f3PcLK8Tau7LlWx/Nxn8Ki2hknuYpIYDiMYLDcjpirlOPW9j9sd33QCkAyKDkk+HHJ/Kk/2lsIxemKAOGY5xpxkc7Hy3olrqxMLlyzgAqegweM9eta3aaq0MUk0PeRyxAauSGB/4rSzwc/Twkmm20gamk6ZGCBStyzSMWZdIycU/fXeLgwGAeAZB4pNQ0mWcBUG+WOBUnitkkcKSSuxaX+BDxv1P66UN7dyRNPIIUHDE7k+g6mqT3CxnRDv/wCX9hTHZtu0kuq5i70SDYsc49jU3x5LILbfEB1uYgsVtGNtYGX/ABzvQu1LmSV0G2APmwcjfitScI1sVQ953AAGo9PWujjjdIikDSlQcDGdIzzWXv8AtNrCWCfvUjeRFfnDH5c/n6VsCEI0SSNqSE7PthvOmouyzb3Uk2vXKx8OrB2PPHBoMgiEmtCwKbYzttvU9d6I02IRHJdWJGQHHH2rI7TtnASWLREw28PB8+fWmIo5486pDjVnA3wPOi3LBFRNAaR/4tPK1nuAnYglMAfKBoOMBjjz96ba4MVzH40C7ll67c0IAxweNwDqOxU/hSMs6R2k7SKCzZKsdiBTk35IybiGcjxIGctgNJpNdOCEEPdsYmXBB6emayrS7sjsQiud2aQ56dBRbeS8gZm1vJayeEPGunHqBVe3DPwtdR5EysEGyaF29qih2Msz6u6ldl6B0wf811RYeM6OLREW7/vIwMMoGPtnmlpbqRCvdNoDE7jY/WjTRNJAGjc918wRN9/z5pRLZsGOWQhiOAv1/GujwZmG7SMNKURpG4GnGfXfbFNXCXLRR93A5jcgkIcj+lLWNikzBo8sEIyrkjH+a24p5Ufus6IuBkYxv5f3qer+ioNssCp3c0LNg6mORk/jmuvT3lu8sccRVCGVwg1Lz6U5D8TGT8SYJTjbSMNn2JoEU9pdxdzOy6+GVgcjfbO3NTLS1mvdiEL8a08omH8EuNvQUtbpFJPIFtZ5VUEgq2lgPOne1LaERQ+A5icqSgyADuNtqJ2fcw2neSFRHMq4Oc5Gf61rL9mXitLu6te+D4CeJUIKv6nP0p+3u40t1M0Z1BRluSc/rNGeUz3dvNDIEcoWdDnDjPQDyo/dQ3o06QhUY26YPSjSK3lv3vZ0z4kVdWWwugsB5frpQLCVLOzQqjO7AklQc4znetazhibVG0xkQ9F6Dy/H1qnaPZ1u48BddWytqwB6YoNVL4XFuty0WSW0sygEj79KKIhJqaEJrbzOk+49aT7NtDEO6Yk95uQo+UDqfOl7z/tGOppoguAksbeFj5HyPvTio9B2VFcTzNC+gTMf95SqkZyQCM74rY7RuktezxbiEzvEdYOrGPbzrxPZP7Q3FpfxO8iyRodu9XdehwQNq9hfQx9sWJvIDqZUxIquSdskY6nmtd8B4e/7QmluXlRQjHYsx1H70mWluJFUku52Gs7UzdRaWBY6s75IwSfWqJDNrRhHlC2NQXI9sVF8AWDslxIGuyig7YDZIzwTT4LW1q0SCMuFxhWwOPWmIWjaKQxRkjju2x0HvWHcXGJ8Or44I8q59vSLTsUcxWRtIAiGkFTnPrUSXIt7Xukmw5AGnuwDnyzvmlkv2kniQP3CoNOputTcae+VVbUDvmRcb5z7VUhNeNpmtkAlwe7BATzHn5b0uHLTEd5lMYOelMRxItorRyIzoQXVflHvQ+y4J5v35hXB+VWONs71z2z5BlmCwDAIJU87BqVfvnnGod2MYJbYYHT1qvaEk3Z6dy9ujIfkLLn7e32paK6nWNVkYfvP4djn6UczZph3csj3cawklWYfORgUh2k3dOFZF6nJ4J8jQu0WcTMMaWHKagcUrJK75Erjccbbf2ro5gkEFxDKg71QFAPgA61odlrdXDLJbyDu1OkiSQ7/AE8tqyEhilbZt24XrW52VDcWcTSFB3JGzHByP60dfBtGSdbVAkcQYZPhj4z1NdWL2h2lG8gEluw0jAVX04rqznp6eIu5hBKJ45kaNtgi7FSef6c0J5Qp75NROOgG/TbFKXEdwzASIQUT5SMYA/RqsDM7K/Gk5A6YrfBjW7PeGPLxuNTDqOK051bZ+9VJGGoauCff2rz/AMa/xSlsE5A9KeS5tYULtrIKkhcg7+XGKi8hoTMktigeRVK+JWLH68VVPh5gJZLsOwHCbHPuOaJHOgi1TRxywbHOrxKOR+vSjHTKsckKYVuDKAVHttS+ErQGG+RYpYHZQThmbnHBzWJf2RtrzBMkiO2cHbNbLXLujQrMkbIcMrxlRg9MVQRvd2bRFFdlPhJXGk+XWiWwLpHGEiYMbcwLuXxo0/8At9/OpuV1RM4CgLlSzkrpGOhFANu5SNZ4HEqKdD8qfQ/hVWsu/wAtM7JmMBo32+uRnHWqM12MyoIwNIL8a2+b2Hl/at1pre5Vop0RZGGS4xk+VYcdnbSAfDiJWj+RwNWB+FOkRSQCEgkqpHkw/txVbD5q6iMFwjLqJ0n1qkkUc0HdzR94G523pNbJreR59TzSHhuQR7ee1GhnDShHKhjtTXGfcdgastZyZB4VvOtX9mJrm3kmt50KMMHxeXFOxwkjVG2QRvjf8aIbK9t4vjEjMkBGQw3GPUfrirlwrHmO3bWePteeHJcayQcdDRISlpEiPqUuCHKnBzWtcXPfv30gjJC6dQwdqRlhQnvI0dmUYA07edZerUdFLuIO4SOR1k5R9W2fI/rms64c3OBIgDrszBRz70wt1cLPriBUjY6hjUPL1qWeymbxzSifUNSgDDb/AIVnPCWbJL3UpDDU2Nz83tRV0SEzKzZAzgH9dKtfW7xXKxLCmhvl0Nqx+t61uyLK2wzLIxLYCeHmn11kMx2ZGoUSa1xjjPTPH3/rTkt6Yw7NGQEIyea6O3ghVUCk5GTqxufOgsO8QgupRW4Gwx13zXNbOhgfalzE0CiRDll8JP8ACa87cxiErIGaQhQeRt5cda2b14CpJBKgNuepxXlhJJrADsRjPGdq29LnIq84MJM+N4UZiPmffHsBvVNYnOBbFmzgAcmgTyM0ikDDHitAaezbZZJAGuGzpH8o8/X8K1GJIXs+PIRWumGO7HC+/ka60uGlid3c7AAknYn0H0pCB5bmcs+phnxNu2PSnmXFp8oVeNAOQKM8HJpG78WGHU+9dUzwyKqNIrgONS5HI866gJ7UkiaXVFcPI7Dx5Ax7cClkZgp0MFUjHrQ5BocqGDAfxDbNR3hxjH1qzMxRFyCNJGcEE4pmURkl4JUYY3UrjT7UhDI0UqyI7Kw6jkCtCA2ayNLJNDNncrLGV+2D60iq3Zl69pPmVWaE5BUnbPtTVzcPc3UbRQzxrnKhTq059arNc9mXcLarR4pIxnMR1DHmfOlbXvFytkznfUdBJ2/pSxL0Yt0ZVMisHAwHGCAR+W1T8SlvGmqZ+7BDf8UmWlEMccb6pP8A6wTv6YP6+9ZFxO+sx3MJjYeILjBHp7VM508eoW/R98qyk4ZRzv6ev5UlJbTwgiAL3BGlcyY36Ag4x+s1jW84GCrqwfwkDn7citbtKK7llkSGRUjChTqfAYEfYZpyZSwa3uu5ECNBiYeEsoyD54PnTcN1GdU6xDW2zkN5eVZMN5FFAEnURTJkh0U+LbAwfz/rTdsZZtLJEY4GyXZlAJPp/wAVRw4t7Mq4Kgg4bfAK/wBxR2T4uEjvMA8+a/hQFUlCfC365oMMzO+bSTu1RtJwuVb0z5iixprWsjfWwDFUkH8w5r0HYV/JLdNatlFbcL787GvGw9rnWVLszLlQQp/4+9anYfaajtKJ7uZO7GT3gHGB5dKuEc/aCx+GuXWNIwjKZEJ6Y5FeYLSIhMbnW+dicda9Z21f2NxbT26XOTCAyOTsR1Ga+f3Fw6f6BcEbkj16Vl6k2o6TEb1bnvSxZVB8JXVk4610TXSsss6Iy5L+DAOfypJe1J42Y6lOR58etRELm+kJRJT/AChc4H1pZnynLHoIF+LggkOAsTEkDGS2OfpTsYSB9cICgjUUG2M9R0qnZXZdzBZgSsFc/NuDvTDdnyIQyaHc7an4Ue1c/XfNuauYnvjID4QQAWI8sUS4lZYdTRruNwPLpj19K74VB4A0mBv6f5q/cIQAQT777Vne+OTvUjzkxDzKBGMhjjXvzSMkCJlg5y2Rkb+tep/6TaNMZSGJPmeKWm7DhbcSY3224zV/yuE3uPMxWsetrmUAoOFPU9Mik5YZppGkK7FvCo6V7SLsq3jXRK2vzHAFEW1todISAkruMDNH8rn6TOtee7P7N7QlhAYJDGDkZULmo7Vt3RlQBmCjc42+lenUgk+Bhjgt1pW8sxc4yxXffes5+T17vInVjzvakUkNvYRkMjpbgMDxz0rq177s92jttIMhEQGSQPzrq6b6/MV7nlBZSupkSJyBztxQZLd0IDqctwMV6+WOOaUM8bySZ6sw3rpjDCmLvUu4XQeQfXg49a1nbT2vIGJlC5Db7gY5Fbdv+z6lP+6ldHO4CrkAVqC0ikMhhVXKrkKzYDn0zTNjeR3ztasJILlf9qQ7E+St0Pv+NPT9ry0vYt3FOI0XXk+BlBwR554G1Or2Nf2yNLscr41U745/KtHtFL6ymRY1yJAcmRQPuAcfata3ld4BM4OjABB8PPkxODRoyMyyu+zp4BA5UyFfGSuls+9Deyt9ej4WO4hAJJDapVz65zj8aaS17OnIT4dUlRyB4lYA5yPWtH4LKNbGMNJuVITDDPQPgDp5UoPa8zd9hRRyKOz5iWOdUbnfpx9+tN9nWV1eD4C9kjXSpwshDH6DkU+9vbNJKEs7m3kIBL5yknoTz9cfSj2tuGkijleyijQnuyD419Bz60xhBf2ejtGUPqufGBh/DpHmG6VsXQtlKRFXLcZUZP1/XWpuo4AfiIr52kxjQiEKTx4t9uB0pOGO9MqjuAiDwhgQpx0HtSvUn2PEHhtGxIyE6QCMnfBrOPZEFgiO8kzLnCqGBB6kjavQQySRWLQAaJNR0tjI39KBdWsd4WW4XUpbOB4cbYqL63MTeuSkV32bDGI0uIosfwdR70Hu57id2hVEiDKoYLgsvX0p+KztrU/urdE//O9Fz6j6Vj1+TlyI69T9Mubs6efvg0hiD40lSDj8KV/+NId5LqRvRVArdJqM1lfyO2d7tZtp+z/Z9v4hCXfnMhz/AIrTjjSIARoqj0FRk129Y9dd9fKdS66gPEyAZ2U4G9QoCgbsR6nNRkk7VxOCBgjNZ+3q+BqxPlUamx0FVLY61GRjIPNOejaMSWOeaqSetQx338qqDq4FVPQGOOSeajbzNcfMCuyRxv8AWj/BTkV31EMjYHBzU5TyNSdyeR71U7nGr7U76NMe4ChY1O+F6g11DuRoEagEjT03H+K6nfSuqY03aRdDAtzGwDBPF4S2Oc7HG4x+s1J7QuGkUSrZqunSo1kn7kc0zZRx/Hv4F2TPHXIol5GmhToXIkAG1elK6brPkun7yQyPbozA41tgY8gMce9Qt1KhMMjwTtjZnc7jfA46fnXopoIS5JijJU4GVGwxS1iAQ+QD4V/OjRhYSyXsKvcNEsUZ0gjB58iR7Ua8jtbqyyLeKcocoHbI596iAk2ZB3Ac81MnyQf+WM+vhpXoBpbxrCum1t1kxkrFEoOfT19amOWaVSotRC52Zte59Tgb00qIEJCqCMnOKHJ8x9T+VR76WuX4gSatSrknPljbOw26VeO2j0jMOy/KQcH71nwM3/UpRqOBjbPpT907Lb5ViDkcGndwfRjvsHGMnG+DvXMzeXTrQE+Vj1zzRYiSxzvxWHTKrq2d8H1q6uAQQD9aA54q44FZyeUCOGbxL13NCz6Z9qYtfnHvQ5dpGxtWvtlmnefGqZFdVTXdKjGdi3I3NVGF8648iuHAp4cidQHFdnUvvXfw/Whng/8Asf6U4eJIIyQMZ9KjSPTPnnmpB8I9qgAZ4qoInB2YkZxVCc8gjzx1qhJCrgnk1XJ1c9KRiHST4dyOKjHiyoxkVJ+Y1EpPdjc8UEsdzggn2quACT5DbFCckM+CfmoqbN+vOl9lV5SQIhqZfAOMDNdXRgM7BgCATgGuqhr/2Q==",hatton,mooray falls,Hatton
Mount vernon waterfall,Scenic,Hatton,"It was not easy to reach this place. There was no road to down the falls. We had to make our own way after the tea estate. Visitors are advised to take care underfoot, as conditions can be slippery.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzUjkAUNb4XCRuGKlly2wsahci4CUVUq97-fKNfZTl3g&s=10,hatton,mount vernon waterfall,Hatton
Muthiyangana Raja Maha Vihara,Heritage,Badulla,"The lord Buddha has visited Sri Lanka three times. One of them came to this place and it is an important sacred place among the Buddhists. Located in a quiet environment. Visitors are advised to take care underfoot, as conditions can be slippery.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSs0sJOfuaVH97H7ed1JV5ZD5TXhGGlpO6am714IgrX0Q&s=10,badulla,muthiyangana raja maha vihara,Badulla
Nalanda gedige,Heritage,Matale,"Marvelous place which situated in Matale district. The original place is considering middle of the Sri Lanka. But the place has been relocated in a safe place, because original place has been inundated to Bowathenna reservoir project. It remains a relatively quiet, less-touristy spot.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQaod_e4DIPx5iDf0ebMOu3P_HxCWfXuybm07FgKA5iCQ&s=10,matale,nalanda gedige,Matale
Narangala Hill,Scenic,Badulla,"Narangala, I know there are two ways to access it. The way near Narangala Kad Mandiya is a very difficult way. But apart from this way, the way from Kandegedara Junction to Narangala is easy. The spot is also known for its scenic views.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTACDz3vR2HMe5U8EiqjiYkTch83LwfBcPQ6QlBUvH0yQ&s=10,badulla,narangala hill,Badulla
Narangala Mountain,Scenic,Badulla,"It is a amazing natural place. Very good place for camping. Not a very tough hike but a slippery path. Visitors are advised to take care underfoot, as conditions can be slippery.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTACDz3vR2HMe5U8EiqjiYkTch83LwfBcPQ6QlBUvH0yQ&s=10,badulla,narangala mountain,Badulla
National Art Gallery,Essence,Colombo,Still under renovation. This is a building built throughout decades. Construction of the main building started in 1930's.,Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTx7hP-kPajSzcyTcbK-P9KC-kTVTYvphi6VLQxmNAstA&s=10,colombo,national art gallery,Colombo
National Meuseum Galle,Essence,Galle,"The National Museum of Galle has some wonderful exhibits. However, it could benefit from better lighting and more detailed descriptions. Since Galle is a major tourist hub, places like this that showcase our history and culture should be developed in detail and with better standards. The spot is also known for its scenic views.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXll0mLpOjWi5FwHn0EG6btgaosaI2v6qQhcA4kHc4FQ&s=10,galle,national meuseum galle,Galle
National spice garden of sri lanka,Essence,Matale,We wanted to know how are produced the spices we use commonly. Nice garden out of the city of Matale. Our guide Mr Archer knows really well his subject.,Relaxed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFplvx5hXzeG1J21hx4VKsQl6x6kWl3-MPw4qWGWCqxA&s=10,matale,national spice garden of sri lanka,Matale
Nilwala Crocodile Safari,Wild,Matara,"Had a very lovely chilled day really enjoyed our trip down the river. Very nice guide, saw loads of amazing birds, bats and crocs. Definitely recommend if you want a relaxing day travelling down the river watching the wild life and the world go by. It remains a relatively quiet, less-touristy spot.",Adventure,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJUcnrmtnJDtvuhUmmbHtM0bwm2KXsJlakIWCsnE7L8Q&s=10,matara,nilwala crocodile safari,Matara
Old Dutch Market,Heritage,Matara,"An Iconic place in Matara. Has been built in the Dutch - Administration times (17 Century). Can be seen the amazing technology used, and architecture.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTm03A6GcPh2UEURRhDfZagEUPlD3LbiZhH0YXLEbK5jg&s=10,matara,old dutch market,Matara
Old Parliament Building,Heritage,Colombo,The building is several hundred meters long and only three- storeys high. It has been created using striking brown granite. The neo-classical architecture incorporates colonnades.,Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcWhcCw4s1dvxILEcMANuapWTI-8h1svK94aBEs2NODw&s=10,colombo,old parliament building,Colombo
Padiwita ambalama,Heritage,Matale,This is called Padivita Ambalama. It is about 1.5km from Matale town. This is a very old Sinhalese cultural resting place. The spot is also known for its scenic views.,Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXG3l5oqyCyYR5AALEZG2TrLRPfWz5BE3XUIaFlviOHw&s=10,matale,padiwita ambalama,Matale
Pallewela Waterfall,Scenic,Badulla,"A secret waterfall in Uva province which can be seen within 5 to 10 mins of walking from the main road, approximately 700m. Place is too cool to be. The view is spectacular. It draws a steady stream of local visitors, especially on weekends.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSeWmmLRhYpT-VLxrJdq6G3o-wSa_jbFJFnxal00nNtfA&s=10,badulla,pallewela waterfall,Badulla
Panagala,Essence,Kurunagela,"It's an awesome location. A rock surrounded with rubber, jack and coconut trees situated in a highest place of a mountain near Pussella, Kurunegala, Sri Lanka. A sand road with stones and concrete will lead us to this place. Visitors are advised to take care underfoot, as conditions can be slippery.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT234Wh2PP-pMgpMGXVAXFUjNEhJzdLU0zUpeeVixQwVQ&s=10,kurunagela,panagala,Kurunegala
